run_id,material,deformation_type,true_density_gcc,compactor_config,roll_diameter_mm,roll_width_mm,sealing_system,roll_surface,scf_kN_per_cm,gap_width_mm,roll_speed_rpm,feed_screw_rpm,densification_factor,nip_angle_deg,peak_pressure_MPa,ribbon_rel_density,ribbon_density_gcc,ribbon_porosity,density_CV_percent,in_zinchuk_window,fines_fraction_pct,granule_d50_um,throughput_kg_hr
18,MCC_Mannitol_Mix,mixed,1.52,Medium_D250,250,25,side_sealing,smooth,12.39,4.21,15.46,109.6,2.387,10.8,52.6,0.7234,1.0996,0.2766,6.53,Yes,27.06,311.7,91.42
19,MCC_101,plastic,1.55,Small_D120,120,25,rim_rolls,knurled,15.89,4.85,3.27,33.3,1.895,16.3,93.1,0.9393,1.4559,0.0607,2.39,No,5.28,536.5,30.09
20,MCC_Mannitol_Mix,mixed,1.52,Small_D120,120,25,side_sealing,smooth,6.87,5.6,18.05,29.5,1.834,10.23,64.2,0.7517,1.1425,0.2483,8.02,Yes,23.31,303.4,147.7
21,Mannitol_SD,brittle,1.49,Small_D120,120,25,rim_rolls,knurled,19.56,3.76,26.72,11.7,2.016,14.81,126.1,0.8591,1.2801,0.1409,3.81,No,10.95,311.3,161.91
22,Mannitol_SD,brittle,1.49,Small_D120,120,25,rim_rolls,knurled,8.58,3.18,23.53,114.1,2.106,15.34,53.4,0.6725,1.002,0.3275,2.75,Yes,24.86,190.6,97.91
23,MCC_101,plastic,1.55,Small_D120,120,25,rim_rolls,smooth,6.23,5.96,5.7,22.1,1.808,10.74,55.4,0.8225,1.2749,0.1775,5.36,No,16.92,458.6,56.25
24,Mannitol_SD,brittle,1.49,Medium_D250_W30,250,30,side_sealing,knurled,19.76,3.53,13.75,96.4,2.515,15.55,58.3,0.7071,1.0535,0.2929,6.39,Yes,27.96,236.4,78.24
25,MCC_101,plastic,1.55,Medium_D250,250,25,side_sealing,smooth,18.88,6.0,22.38,57.4,2.162,10.59,81.7,0.7689,1.1919,0.2311,7.58,Yes,16.53,312.2,204.96
26,Mannitol_SD,brittle,1.49,Medium_D250_W30,250,30,rim_rolls,smooth,4.09,4.49,26.75,106.8,2.344,10.25,18.3,0.5132,0.7647,0.4868,5.04,No,34.13,91.7,140.25
27,Mannitol_SD,brittle,1.49,Medium_D250,250,25,side_sealing,knurled,9.75,4.73,15.41,22.3,2.308,14.95,29.9,0.5719,0.8522,0.4281,7.06,No,33.46,190.7,80.72
28,MCC_Mannitol_Mix,mixed,1.52,Small_D120,120,25,rim_rolls,knurled,5.41,2.6,17.43,53.1,2.223,15.4,33.6,0.632,0.9606,0.368,3.89,Yes,23.92,243.1,55.33
29,Mannitol_SD,brittle,1.49,Medium_D250_W30,250,30,rim_rolls,knurled,5.48,3.0,16.25,20.7,2.644,14.93,16.8,0.4996,0.7444,0.5004,4.51,No,38.83,81.6,57.99
30,MCC_Mannitol_Mix,mixed,1.52,Medium_D250,250,25,side_sealing,knurled,7.67,3.37,26.9,99.8,2.55,15.47,22.7,0.5385,0.8185,0.4615,6.49,No,36.29,108.7,93.23
31,MCC_Mannitol_Mix,mixed,1.52,Medium_D250,250,25,rim_rolls,knurled,10.38,5.8,28.16,109.0,2.181,15.49,30.7,0.5914,0.899,0.4086,3.33,No,27.25,139.7,187.08
32,MCC_Mannitol_Mix,mixed,1.52,Medium_D250,250,25,rim_rolls,smooth,4.89,4.92,5.34,90.1,2.284,11.48,19.5,0.5655,0.8596,0.4345,3.85,No,30.59,177.4,27.78
33,Mannitol_SD,brittle,1.49,Medium_D250,250,25,side_sealing,smooth,11.28,4.29,5.84,95.5,2.374,11.2,46.2,0.6483,0.9659,0.3517,7.39,Yes,31.43,154.4,32.37
34,MCC_101,plastic,1.55,Medium_D250_W30,250,30,side_sealing,smooth,8.73,1.47,25.22,63.5,3.349,10.59,37.8,0.6411,0.9936,0.3589,7.67,Yes,28.21,225.7,59.28
35,MCC_Mannitol_Mix,mixed,1.52,Medium_D250,250,25,side_sealing,smooth,11.46,3.37,2.41,57.8,2.551,11.84,44.4,0.7255,1.1027,0.2745,7.65,Yes,23.13,304.6,10.74
36,Mannitol_SD,brittle,1.49,Medium_D250_W30,250,30,side_sealing,smooth,12.78,2.9,19.52,85.0,2.671,10.29,56.9,0.6942,1.0344,0.3058,7.65,Yes,31.71,196.1,86.19
37,Mannitol_SD,brittle,1.49,Small_D120,120,25,rim_rolls,smooth,2.61,1.27,20.22,44.8,2.747,10.05,24.8,0.5607,0.8354,0.4393,5.26,No,27.63,71.9,29.62
38,MCC_101,plastic,1.55,Medium_D250_W30,250,30,side_sealing,knurled,9.1,1.13,23.07,71.9,3.679,15.66,26.6,0.597,0.9253,0.403,6.08,No,30.61,234.9,39.33
39,MCC_101,plastic,1.55,Medium_D250_W30,250,30,rim_rolls,smooth,6.18,2.66,2.72,112.5,2.747,12.71,22.3,0.6564,1.0174,0.3436,9.54,Yes,21.12,339.9,10.52
40,Mannitol_SD,brittle,1.49,Small_D120,120,25,side_sealing,smooth,16.14,2.51,12.94,55.1,2.245,10.28,149.9,0.8873,1.3221,0.1127,7.95,No,19.32,371.4,55.44
41,MCC_Mannitol_Mix,mixed,1.52,Small_D120,120,25,side_sealing,knurled,5.95,4.04,18.44,116.0,1.98,15.73,36.1,0.6453,0.9809,0.3547,5.61,Yes,30.24,259.0,93.15
42,Mannitol_SD,brittle,1.49,Medium_D250_W30,250,30,rim_rolls,knurled,6.01,1.48,25.43,72.7,3.343,15.13,18.2,0.5341,0.7959,0.4659,3.58,No,30.63,85.8,44.75
43,MCC_101,plastic,1.55,Medium_D250_W30,250,30,rim_rolls,smooth,9.12,3.02,20.46,31.4,2.638,10.46,39.9,0.6888,1.0677,0.3112,5.33,Yes,16.66,281.2,100.66
44,MCC_Mannitol_Mix,mixed,1.52,Small_D120,120,25,side_sealing,knurled,6.15,3.0,6.15,63.3,2.139,16.06,36.6,0.6731,1.0231,0.3269,6.07,Yes,28.2,218.3,21.99
45,MCC_101,plastic,1.55,Small_D120,120,25,side_sealing,knurled,11.56,4.79,21.26,100.8,1.901,15.83,69.7,0.7594,1.1771,0.2406,6.56,Yes,18.72,325.6,153.64
46,Mannitol_SD,brittle,1.49,Medium_D250_W30,250,30,rim_rolls,smooth,18.09,2.53,2.66,41.9,2.789,11.17,74.3,0.7776,1.1586,0.2224,4.61,Yes,17.46,294.0,12.68
47,MCC_101,plastic,1.55,Medium_D250,250,25,side_sealing,knurled,5.88,3.72,29.64,64.5,2.476,15.55,17.3,0.4915,0.7619,0.5085,7.13,No,39.65,172.9,108.17
48,Mannitol_SD,brittle,1.49,Medium_D250_W30,250,30,side_sealing,knurled,8.35,4.38,28.39,117.6,2.36,15.27,25.1,0.545,0.812,0.455,6.91,No,38.53,165.1,155.23
49,MCC_101,plastic,1.55,Medium_D250_W30,250,30,side_sealing,smooth,11.72,1.56,22.01,75.5,3.28,10.69,50.3,0.7215,1.1184,0.2785,7.84,Yes,22.16,361.5,58.99
50,MCC_101,plastic,1.55,Medium_D250,250,25,side_sealing,smooth,8.25,3.55,25.91,107.0,2.511,10.77,35.1,0.6388,0.9902,0.3612,7.69,Yes,24.21,264.4,114.35
51,MCC_101,plastic,1.55,Medium_D250,250,25,side_sealing,smooth,11.05,3.58,26.93,49.1,2.505,10.5,48.2,0.6577,1.0194,0.3423,7.16,Yes,28.57,302.9,125.5
52,MCC_101,plastic,1.55,Medium_D250_W30,250,30,side_sealing,knurled,14.89,5.77,19.37,74.6,2.184,15.74,43.4,0.691,1.0711,0.309,5.76,Yes,23.49,282.8,184.03
53,Mannitol_SD,brittle,1.49,Medium_D250_W30,250,30,side_sealing,knurled,2.51,1.82,18.92,54.8,3.112,15.13,7.6,0.4233,0.6307,0.5767,6.72,No,50.35,84.2,35.07
54,MCC_Mannitol_Mix,mixed,1.52,Medium_D250,250,25,side_sealing,knurled,5.77,1.81,5.21,95.2,3.114,16.56,16.0,0.5641,0.8575,0.4359,6.73,No,31.8,183.9,10.27
55,Mannitol_SD,brittle,1.49,Medium_D250,250,25,rim_rolls,smooth,16.61,3.55,27.29,36.2,2.511,9.94,76.6,0.7499,1.1173,0.2501,4.87,Yes,20.85,199.4,139.22
56,Mannitol_SD,brittle,1.49,Medium_D250_W30,250,30,rim_rolls,knurled,12.96,3.27,24.09,41.3,2.574,14.99,39.6,0.6155,0.917,0.3845,4.3,Yes,30.48,138.2,112.59
57,MCC_101,plastic,1.55,Small_D120,120,25,rim_rolls,knurled,19.36,2.76,8.93,74.2,2.187,16.16,114.4,0.9491,1.4711,0.0509,3.71,No,5.62,538.1,44.25
58,MCC_101,plastic,1.55,Medium_D250_W30,250,30,rim_rolls,smooth,8.14,5.05,12.61,35.1,2.266,10.62,35.1,0.7042,1.0916,0.2958,3.79,Yes,20.22,343.4,106.12
59,MCC_Mannitol_Mix,mixed,1.52,Medium_D250_W30,250,30,side_sealing,smooth,16.81,5.64,15.57,60.0,2.199,10.49,73.5,0.793,1.2054,0.207,7.8,Yes,21.16,344.0,163.98
60,MCC_101,plastic,1.55,Medium_D250_W30,250,30,rim_rolls,knurled,14.27,3.66,9.75,119.0,2.487,16.45,39.8,0.7458,1.156,0.2542,2.42,Yes,16.85,341.1,62.93
61,MCC_Mannitol_Mix,mixed,1.52,Medium_D250_W30,250,30,rim_rolls,knurled,15.98,3.86,12.43,11.0,2.449,15.13,48.4,0.718,1.0913,0.282,3.64,Yes,19.95,227.2,80.4
62,Mannitol_SD,brittle,1.49,Medium_D250,250,25,rim_rolls,knurled,16.34,5.24,13.76,76.8,2.243,15.42,48.6,0.6786,1.0111,0.3214,2.85,Yes,22.86,227.7,94.61
63,MCC_101,plastic,1.55,Medium_D250_W30,250,30,side_sealing,knurled,15.76,3.68,22.01,88.0,2.483,15.75,45.8,0.698,1.0819,0.302,6.34,Yes,26.94,262.7,133.45
64,MCC_101,plastic,1.55,Small_D120,120,25,rim_rolls,smooth,12.4,3.59,12.08,18.6,2.041,10.46,113.2,0.9382,1.4542,0.0618,4.63,No,5.77,520.2,80.66
65,MCC_Mannitol_Mix,mixed,1.52,Medium_D250_W30,250,30,side_sealing,knurled,14.7,1.49,26.06,81.5,3.334,15.41,43.7,0.6815,1.0359,0.3185,5.51,Yes,27.29,218.7,62.29
66,Mannitol_SD,brittle,1.49,Medium_D250_W30,250,30,side_sealing,knurled,11.49,3.61,19.56,78.7,2.497,15.26,34.5,0.5951,0.8867,0.4049,6.25,No,33.81,155.0,95.21
67,Mannitol_SD,brittle,1.49,Medium_D250_W30,250,30,rim_rolls,smooth,16.59,2.86,21.99,19.8,2.684,9.88,77.0,0.7829,1.1666,0.2171,4.65,Yes,17.08,266.2,112.42
68,Mannitol_SD,brittle,1.49,Medium_D250_W30,250,30,rim_rolls,knurled,4.89,5.27,7.7,18.1,2.24,15.07,14.9,0.4907,0.7312,0.5093,3.41,No,40.11,83.9,45.3
69,MCC_101,plastic,1.55,Medium_D250_W30,250,30,side_sealing,knurled,11.67,4.16,28.65,66.6,2.395,15.56,34.4,0.5802,0.8994,0.4198,6.45,No,32.92,222.4,164.59
70,MCC_101,plastic,1.55,Medium_D250_W30,250,30,rim_rolls,knurled,10.76,2.36,17.34,91.2,2.852,15.88,31.0,0.6784,1.0516,0.3216,3.36,Yes,24.31,300.3,64.45
71,Mannitol_SD,brittle,1.49,Medium_D250_W30,250,30,rim_rolls,knurled,7.19,4.97,24.92,117.8,2.277,15.33,21.5,0.5263,0.7842,0.4737,3.31,No,32.95,115.0,150.2
72,Mannitol_SD,brittle,1.49,Small_D120,120,25,rim_rolls,knurled,15.37,2.93,24.05,37.1,2.152,14.97,98.1,0.8237,1.2273,0.1763,3.78,No,15.5,329.5,109.92
73,MCC_101,plastic,1.55,Small_D120,120,25,rim_rolls,smooth,15.33,5.23,27.16,119.2,1.862,10.8,135.6,0.8402,1.3023,0.1598,3.52,No,9.57,406.6,235.65
74,MCC_Mannitol_Mix,mixed,1.52,Medium_D250_W30,250,30,rim_rolls,knurled,6.68,5.7,7.86,90.1,2.192,16.15,19.0,0.5718,0.8692,0.4282,2.22,No,26.19,215.2,60.42
75,Mannitol_SD,brittle,1.49,Medium_D250,250,25,rim_rolls,knurled,7.8,5.76,14.1,54.0,2.186,15.24,23.5,0.5504,0.8201,0.4496,3.31,No,31.93,141.6,84.95
76,MCC_Mannitol_Mix,mixed,1.52,Medium_D250,250,25,rim_rolls,knurled,12.57,3.3,2.85,31.2,2.567,16.11,35.8,0.7026,1.0679,0.2974,2.11,Yes,23.44,303.9,9.92
77,MCC_101,plastic,1.55,Small_D120,120,25,rim_rolls,knurled,19.48,3.15,9.75,51.0,2.111,15.88,117.1,0.9271,1.437,0.0729,3.17,No,3.0,533.2,56.14
78,MCC_101,plastic,1.55,Medium_D250,250,25,rim_rolls,knurled,4.05,3.88,22.66,24.0,2.444,15.4,12.1,0.507,0.7858,0.493,3.89,No,30.22,124.3,88.58
79,MCC_Mannitol_Mix,mixed,1.52,Medium_D250,250,25,side_sealing,knurled,3.66,3.9,15.93,11.6,2.442,15.11,11.1,0.4934,0.75,0.5066,7.69,No,41.34,129.1,61.22
80,MCC_Mannitol_Mix,mixed,1.52,Medium_D250_W30,250,30,side_sealing,knurled,5.82,2.14,13.43,50.2,2.944,15.48,17.2,0.5714,0.8685,0.4286,6.26,No,31.72,163.0,38.15
81,Mannitol_SD,brittle,1.49,Medium_D250_W30,250,30,rim_rolls,knurled,16.33,5.96,20.93,81.7,2.166,15.24,49.1,0.6693,0.9973,0.3307,3.44,Yes,27.31,207.9,192.73
82,MCC_101,plastic,1.55,Small_D120,120,25,side_sealing,knurled,3.47,5.55,11.28,119.1,1.837,16.33,20.3,0.5935,0.9199,0.4065,5.89,No,28.66,244.6,74.4
83,Mannitol_SD,brittle,1.49,Small_D120,120,25,rim_rolls,smooth,17.46,3.96,23.8,50.3,1.991,10.04,166.1,0.8893,1.3251,0.1107,4.76,No,11.48,404.4,160.85
84,MCC_101,plastic,1.55,Small_D120,120,25,rim_rolls,smooth,12.21,3.21,9.92,87.3,2.101,11.2,104.1,0.9096,1.4099,0.0904,3.52,No,9.41,510.9,59.28
85,MCC_101,plastic,1.55,Medium_D250_W30,250,30,rim_rolls,smooth,8.37,4.22,28.93,85.7,2.385,10.64,36.0,0.6256,0.9697,0.3744,4.23,Yes,26.06,186.9,180.47
86,MCC_Mannitol_Mix,mixed,1.52,Medium_D250_W30,250,30,side_sealing,smooth,10.26,1.7,9.85,70.0,3.181,10.81,43.5,0.7107,1.0803,0.2893,7.05,Yes,21.38,329.6,31.39
87,Mannitol_SD,brittle,1.49,Small_D120,120,25,side_sealing,knurled,10.18,1.2,2.4,118.0,2.799,17.42,55.8,0.681,1.0147,0.319,12.27,Yes,29.16,239.1,3.72
88,MCC_101,plastic,1.55,Small_D120,120,25,rim_rolls,knurled,16.73,1.1,16.96,48.6,2.883,15.63,102.2,0.8844,1.3708,0.1156,3.38,No,7.01,467.6,31.88
89,MCC_101,plastic,1.55,Medium_D250,250,25,rim_rolls,knurled,4.17,2.29,24.17,25.0,2.883,15.4,12.4,0.4966,0.7698,0.5034,4.34,No,31.31,154.2,55.38
90,MCC_Mannitol_Mix,mixed,1.52,Medium_D250_W30,250,30,side_sealing,knurled,4.55,4.05,24.7,35.5,2.414,15.2,13.7,0.4934,0.75,0.5066,7.57,No,37.9,134.6,116.03
91,MCC_101,plastic,1.55,Medium_D250,250,25,side_sealing,knurled,4.78,5.83,5.51,100.7,2.179,16.81,13.0,0.5587,0.866,0.4413,7.23,No,35.32,222.1,35.39
92,MCC_101,plastic,1.55,Medium_D250,250,25,side_sealing,knurled,13.09,1.06,21.05,114.4,3.767,15.9,37.7,0.6879,1.0662,0.3121,5.3,Yes,22.4,285.7,33.52
93,MCC_101,plastic,1.55,Small_D120,120,25,side_sealing,knurled,2.51,5.95,21.33,39.6,1.808,15.51,15.5,0.5199,0.8059,0.4801,7.11,No,36.16,106.7,130.97
94,MCC_Mannitol_Mix,mixed,1.52,Small_D120,120,25,rim_rolls,smooth,13.85,2.43,27.96,72.8,2.266,10.35,127.8,0.8672,1.3182,0.1328,4.47,No,10.99,420.4,113.25
95,MCC_Mannitol_Mix,mixed,1.52,Small_D120,120,25,rim_rolls,knurled,18.1,1.27,11.19,108.2,2.747,16.01,107.9,0.8882,1.35,0.1118,2.1,No,10.78,424.7,22.74
96,MCC_Mannitol_Mix,mixed,1.52,Small_D120,120,25,side_sealing,smooth,17.03,5.17,21.27,98.9,1.867,10.57,153.8,0.8958,1.3616,0.1042,6.58,No,12.52,456.4,192.09
97,Mannitol_SD,brittle,1.49,Medium_D250,250,25,rim_rolls,smooth,17.14,1.95,24.69,49.1,3.039,10.02,78.4,0.7654,1.1405,0.2346,4.27,Yes,19.47,289.8,69.46
98,Mannitol_SD,brittle,1.49,Medium_D250_W30,250,30,rim_rolls,smooth,11.88,1.28,2.71,76.2,3.515,11.75,46.3,0.6725,1.0021,0.3275,5.96,Yes,26.15,241.7,6.72
99,MCC_101,plastic,1.55,Medium_D250,250,25,rim_rolls,smooth,7.26,1.87,10.12,100.4,3.079,11.28,29.5,0.7086,1.0983,0.2914,3.42,Yes,19.81,319.7,26.84
100,MCC_101,plastic,1.55,Medium_D250,250,25,side_sealing,knurled,15.72,4.21,11.43,25.0,2.388,15.55,46.4,0.7623,1.1816,0.2377,6.56,Yes,20.38,373.7,70.04
101,MCC_Mannitol_Mix,mixed,1.52,Medium_D250_W30,250,30,side_sealing,knurled,8.18,1.77,13.43,65.4,3.141,15.59,24.0,0.6099,0.927,0.3901,6.72,Yes,30.75,206.9,32.39
102,MCC_Mannitol_Mix,mixed,1.52,Small_D120,120,25,rim_rolls,smooth,10.93,5.62,20.22,64.0,1.832,10.41,100.2,0.8449,1.2842,0.1551,4.0,No,10.24,370.9,184.82
103,Mannitol_SD,brittle,1.49,Small_D120,120,25,side_sealing,knurled,14.39,3.72,9.8,39.4,2.022,15.26,90.1,0.795,1.1846,0.205,6.43,Yes,23.15,290.9,57.73
104,MCC_101,plastic,1.55,Medium_D250,250,25,side_sealing,smooth,7.83,4.59,14.12,84.6,2.329,10.95,32.8,0.654,1.0138,0.346,5.71,Yes,28.93,251.4,82.61
105,MCC_Mannitol_Mix,mixed,1.52,Medium_D250,250,25,rim_rolls,smooth,10.16,2.53,6.19,15.0,2.789,10.33,45.1,0.7372,1.1206,0.2628,4.9,Yes,20.35,349.5,21.13
106,Mannitol_SD,brittle,1.49,Small_D120,120,25,side_sealing,knurled,11.52,4.17,25.58,52.9,1.965,15.03,73.2,0.7379,1.0994,0.2621,7.29,Yes,25.03,256.8,147.64
107,Mannitol_SD,brittle,1.49,Small_D120,120,25,rim_rolls,smooth,15.41,3.02,16.18,77.0,2.135,10.33,142.4,0.8978,1.3377,0.1022,4.05,No,12.62,408.1,83.4
108,MCC_Mannitol_Mix,mixed,1.52,Medium_D250_W30,250,30,side_sealing,smooth,4.52,4.97,12.09,42.9,2.277,10.46,19.8,0.5244,0.7971,0.4756,6.84,No,35.85,132.2,70.87
109,MCC_Mannitol_Mix,mixed,1.52,Medium_D250,250,25,rim_rolls,smooth,14.3,1.06,22.59,44.4,3.759,10.27,63.8,0.7769,1.1809,0.2231,3.94,Yes,18.67,336.3,37.51
110,MCC_101,plastic,1.55,Small_D120,120,25,rim_rolls,smooth,3.7,2.44,26.68,43.8,2.262,10.48,33.7,0.6156,0.9541,0.3844,4.03,Yes,24.07,235.8,79.26
111,MCC_Mannitol_Mix,mixed,1.52,Medium_D250,250,25,side_sealing,knurled,4.41,4.77,3.82,74.6,2.303,16.63,12.2,0.5437,0.8264,0.4563,6.36,No,34.77,182.4,19.92
112,Mannitol_SD,brittle,1.49,Medium_D250,250,25,side_sealing,smooth,10.01,3.93,23.35,99.5,2.436,10.28,44.6,0.63,0.9386,0.37,8.01,Yes,32.44,173.2,108.17
113,MCC_101,plastic,1.55,Small_D120,120,25,side_sealing,smooth,15.42,3.8,6.43,104.7,2.011,11.7,125.9,0.9409,1.4585,0.0591,6.99,No,11.05,526.1,47.27
114,MCC_Mannitol_Mix,mixed,1.52,Medium_D250,250,25,rim_rolls,knurled,19.6,4.42,8.94,55.9,2.353,15.73,57.1,0.7718,1.1731,0.2282,3.78,Yes,18.94,361.3,60.97
115,Mannitol_SD,brittle,1.49,Small_D120,120,25,rim_rolls,knurled,3.32,1.67,12.86,110.8,2.527,15.68,20.2,0.5248,0.782,0.4752,1.99,No,35.34,86.3,21.7
116,MCC_101,plastic,1.55,Medium_D250_W30,250,30,side_sealing,knurled,15.6,2.9,23.62,63.9,2.672,15.61,45.8,0.6785,1.0517,0.3215,6.73,Yes,23.02,317.5,107.4
117,Mannitol_SD,brittle,1.49,Small_D120,120,25,rim_rolls,smooth,5.88,4.02,19.72,35.1,1.983,10.0,56.2,0.6905,1.0288,0.3095,4.79,Yes,22.6,180.7,105.11
118,MCC_Mannitol_Mix,mixed,1.52,Medium_D250_W30,250,30,rim_rolls,knurled,19.71,5.78,11.34,24.6,2.184,15.29,59.1,0.7819,1.1885,0.2181,3.37,Yes,14.57,394.6,122.39
119,MCC_Mannitol_Mix,mixed,1.52,Small_D120,120,25,side_sealing,knurled,17.21,1.85,26.43,89.1,2.449,15.44,106.5,0.8253,1.2544,0.1747,7.02,No,18.2,336.1,76.41
120,MCC_Mannitol_Mix,mixed,1.52,Medium_D250_W30,250,30,side_sealing,knurled,4.71,5.81,18.03,40.3,2.181,15.3,14.1,0.5085,0.773,0.4915,6.28,No,36.09,107.1,119.43
121,Mannitol_SD,brittle,1.49,Medium_D250,250,25,rim_rolls,knurled,11.14,1.07,8.46,39.6,3.749,15.33,33.3,0.6503,0.9689,0.3497,3.38,Yes,28.12,191.5,11.57
122,MCC_Mannitol_Mix,mixed,1.52,Medium_D250,250,25,rim_rolls,smooth,6.25,2.6,5.31,38.3,2.765,10.81,26.5,0.6328,0.9618,0.3672,3.32,Yes,25.27,258.1,19.61
123,MCC_101,plastic,1.55,Medium_D250,250,25,side_sealing,knurled,15.83,4.58,17.86,17.0,2.33,15.39,47.2,0.7038,1.091,0.2962,7.01,Yes,21.61,289.6,116.45
124,MCC_101,plastic,1.55,Medium_D250_W30,250,30,side_sealing,smooth,19.28,4.78,7.52,78.9,2.302,11.33,78.0,0.8544,1.3243,0.1456,5.65,No,15.24,391.6,73.91
125,Mannitol_SD,brittle,1.49,Small_D120,120,25,side_sealing,smooth,14.9,5.56,9.93,60.5,1.836,10.46,136.0,0.8705,1.297,0.1295,6.9,No,18.31,414.7,90.91
126,MCC_101,plastic,1.55,Small_D120,120,25,side_sealing,smooth,17.92,4.57,7.24,86.1,1.922,11.43,149.8,0.95,1.4725,0.05,6.01,No,10.56,544.3,57.53
127,MCC_101,plastic,1.55,Small_D120,120,25,rim_rolls,smooth,3.1,2.43,9.15,61.5,2.265,11.02,26.9,0.6541,1.0139,0.3459,2.79,Yes,25.78,326.7,30.0
128,MCC_Mannitol_Mix,mixed,1.52,Medium_D250,250,25,rim_rolls,smooth,10.23,2.71,26.01,15.6,2.729,10.09,46.5,0.6738,1.0241,0.3262,4.47,Yes,21.88,220.7,89.87
129,MCC_101,plastic,1.55,Medium_D250_W30,250,30,rim_rolls,knurled,17.39,5.48,1.89,106.8,2.216,18.09,44.1,0.7841,1.2153,0.2159,10.41,Yes,14.44,468.0,17.28
130,MCC_Mannitol_Mix,mixed,1.52,Medium_D250,250,25,rim_rolls,smooth,2.8,1.54,3.55,109.1,3.29,12.11,10.6,0.5207,0.7915,0.4793,6.64,No,29.0,135.8,6.82
131,MCC_101,plastic,1.55,Medium_D250,250,25,side_sealing,smooth,14.59,3.16,6.58,16.1,2.601,10.58,63.2,0.853,1.3221,0.147,6.28,No,16.61,442.4,34.14
