run_id,compactor_model,scale,roll_diameter_in,roll_width_in,roll_diameter_cm,roll_width_cm,max_roll_pressure_kn_cm,integrated_mill,total_power_kw,material,feed_density_gcc,deformation_type,roll_pressure_fraction,scf_kn_cm,roll_speed_rpm,hfs_speed_rpm,vfs_hfs_ratio,gap_width_mm,ribbon_rel_density,ribbon_density_gcc,ribbon_porosity,density_cv_pct,fines_pct,granule_yield_pct,in_zinchuk_window,throughput_kg_hr,throughput_lbs_hr,specific_energy_kwh_tonne,changeover_time_hr,replicate
58,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,1.0,1.73,6,75,1.5,1.21,0.4784,0.6219,0.5216,4.49,27.72,73.0,No,151.6,334.1,125.36,2.5,1
59,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.3,0.52,10,75,0.8,1.59,0.3924,0.5101,0.6076,3.73,33.6,67.17,No,175.7,387.3,62.73,2.5,3
60,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.85,1.47,6,50,0.8,1.74,0.4624,0.6011,0.5376,3.79,31.6,66.58,No,143.7,316.7,120.36,2.5,2
61,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,1.0,1.73,6,75,1.2,1.43,0.5064,0.6583,0.4936,4.02,29.13,69.84,No,153.9,339.4,123.43,2.5,3
62,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.5,0.87,4,50,0.6,1.44,0.4357,0.5665,0.5643,4.48,31.26,69.97,No,127.3,280.6,104.5,2.5,1
63,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.7,1.21,10,15,0.6,1.51,0.4348,0.5652,0.5652,5.02,29.51,70.19,No,147.2,324.5,105.84,2.5,1
64,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.5,0.87,8,100,1.2,1.4,0.4419,0.5744,0.5581,3.78,29.91,67.28,No,196.2,432.6,67.78,2.5,1
65,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.7,1.21,2,50,1.0,1.23,0.4673,0.6075,0.5327,5.79,28.1,71.24,No,118.7,261.6,131.29,2.5,3
66,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.3,0.52,2,100,0.8,1.77,0.4034,0.5244,0.5966,9.54,33.16,66.92,No,152.9,337.0,72.09,2.5,3
67,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.85,1.47,10,15,1.2,1.62,0.4381,0.5696,0.5619,4.44,31.19,68.49,No,147.0,324.1,117.6,2.5,3
68,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,1.0,1.73,6,30,0.8,1.61,0.4903,0.6374,0.5097,4.55,30.1,69.08,No,126.9,279.8,149.68,2.5,1
69,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.7,1.21,6,30,1.2,1.58,0.4487,0.5833,0.5513,4.32,31.66,67.81,No,126.8,279.5,122.87,2.5,2
70,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.3,0.52,2,30,1.5,1.76,0.3951,0.5136,0.6049,4.89,32.46,66.62,No,97.7,215.4,112.77,2.5,3
71,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.3,0.52,10,100,1.5,1.74,0.4074,0.5296,0.5926,3.47,32.95,67.11,No,202.0,445.3,54.56,2.5,3
72,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.5,0.87,2,75,1.5,1.44,0.4078,0.5301,0.5922,8.22,31.12,68.97,No,129.7,285.9,102.55,2.5,2
73,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.5,0.87,4,15,1.5,1.76,0.4142,0.5385,0.5858,5.12,32.26,67.24,No,103.5,228.1,128.55,2.5,3
74,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.7,1.21,4,100,0.6,1.66,0.4101,0.5332,0.5899,6.8,33.14,66.09,No,151.9,334.9,102.57,2.5,2
75,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.3,0.52,10,30,1.0,1.2,0.4208,0.5471,0.5792,4.35,32.5,66.96,No,160.2,353.2,68.78,2.5,2
76,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.5,0.87,6,15,1.5,1.23,0.406,0.5279,0.594,5.52,31.69,69.07,No,114.3,251.9,116.39,2.5,2
77,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.85,1.47,6,100,0.8,1.27,0.4871,0.6333,0.5129,4.38,28.2,73.7,No,168.6,371.8,102.52,2.5,3
78,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.3,0.52,10,30,1.2,1.49,0.3904,0.5075,0.6096,4.44,36.64,63.36,No,164.3,362.2,67.08,2.5,1
79,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.85,1.47,6,75,0.8,1.32,0.484,0.6292,0.516,4.12,27.52,72.7,No,165.0,363.7,104.81,2.5,3
80,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,1.0,1.73,4,75,1.0,1.56,0.488,0.6344,0.512,4.53,28.88,69.79,No,136.8,301.7,138.84,2.5,2
81,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.5,0.87,6,100,1.0,1.49,0.4556,0.5923,0.5444,3.8,28.96,68.86,No,179.2,395.1,74.22,2.5,1
82,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.85,1.47,4,100,0.8,1.47,0.4566,0.5936,0.5434,5.5,29.82,68.92,No,173.2,381.9,99.81,2.5,1
83,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.5,0.87,4,30,1.5,1.78,0.4146,0.5389,0.5854,4.24,31.06,68.6,No,115.6,254.9,115.02,2.5,3
84,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.7,1.21,6,30,1.0,1.34,0.4985,0.6481,0.5015,3.77,28.59,72.38,No,134.8,297.2,115.58,2.5,2
85,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.5,0.87,8,15,1.2,1.52,0.445,0.5786,0.555,5.22,30.78,68.12,No,132.3,291.7,100.52,2.5,1
86,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.85,1.47,8,15,1.0,1.55,0.4904,0.6376,0.5096,4.77,26.3,73.6,No,135.5,298.7,127.6,2.5,2
87,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.7,1.21,4,50,0.6,1.67,0.4328,0.5626,0.5672,4.54,29.42,71.34,No,127.1,280.3,122.54,2.5,1
88,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,1.0,1.73,8,100,0.8,1.54,0.4816,0.626,0.5184,3.65,28.74,72.76,No,169.2,373.0,112.3,2.5,2
89,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.5,0.87,2,50,0.8,1.76,0.4235,0.5505,0.5765,5.9,31.3,69.42,No,113.0,249.1,117.69,2.5,1
90,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.3,0.52,10,15,1.0,1.8,0.4069,0.5289,0.5931,4.12,32.42,65.0,No,148.2,326.7,74.35,2.5,1
91,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.5,0.87,6,75,1.0,1.47,0.4573,0.5945,0.5427,3.09,30.37,70.71,No,156.2,344.4,85.14,2.5,1
92,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.85,1.47,6,75,0.8,1.78,0.4657,0.6054,0.5343,4.09,29.96,71.2,No,157.3,346.7,109.95,2.5,1
93,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.3,0.52,6,50,1.0,1.26,0.4412,0.5735,0.5588,3.39,30.94,68.87,No,146.0,321.8,75.5,2.5,3
94,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.5,0.87,4,50,0.8,1.74,0.4122,0.5359,0.5878,3.77,33.37,65.15,No,126.8,279.5,104.91,2.5,3
95,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.5,0.87,10,100,1.0,1.25,0.4552,0.5918,0.5448,3.11,30.4,69.06,No,202.1,445.6,65.8,2.5,1
96,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,1.0,1.73,10,15,1.0,1.36,0.5218,0.6784,0.4782,4.27,26.53,73.35,No,143.6,316.5,132.33,2.5,2
97,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,1.0,1.73,8,100,1.2,1.26,0.4892,0.636,0.5108,3.68,28.29,70.74,No,182.4,402.1,104.17,2.5,3
98,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,1.0,1.73,2,15,1.0,1.3,0.5268,0.6848,0.4732,3.6,30.53,68.21,No,91.4,201.5,207.92,2.5,1
99,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.5,0.87,4,50,0.8,1.72,0.4183,0.5438,0.5817,3.8,31.77,68.45,No,129.4,285.2,102.81,2.5,1
100,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.3,0.52,6,100,0.6,1.45,0.4008,0.5211,0.5992,5.4,31.92,67.97,No,171.3,377.6,64.34,2.5,3
101,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.85,1.47,2,50,1.5,1.69,0.4346,0.5649,0.5654,6.32,31.08,70.04,No,113.7,250.6,152.11,2.5,2
102,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.7,1.21,8,50,0.6,1.59,0.4424,0.5752,0.5576,4.84,30.01,69.78,No,151.4,333.8,102.89,2.5,1
103,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.3,0.52,8,15,1.5,1.76,0.3783,0.4918,0.6217,5.13,34.04,65.37,No,127.3,280.6,86.58,2.5,1
104,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.85,1.47,10,30,1.2,1.21,0.4657,0.6055,0.5343,4.27,31.85,67.77,No,154.6,340.8,111.85,2.5,2
105,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,1.0,1.73,4,30,0.6,1.68,0.4949,0.6434,0.5051,4.35,26.24,74.36,No,112.5,248.0,168.93,2.5,2
106,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,1.0,1.73,4,30,1.2,1.48,0.5039,0.6551,0.4961,4.21,28.48,72.33,No,112.5,248.0,168.88,2.5,1
107,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.85,1.47,4,50,0.8,1.8,0.4787,0.6223,0.5213,4.25,28.21,71.99,No,124.8,275.2,138.51,2.5,3
108,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.3,0.52,8,15,1.5,1.51,0.3845,0.4998,0.6155,4.89,34.19,66.55,No,133.4,294.0,82.64,2.5,3
109,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.5,0.87,2,100,0.8,1.48,0.4135,0.5376,0.5865,9.36,28.15,73.83,No,143.8,316.9,92.51,2.5,1
110,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.85,1.47,6,50,1.2,1.27,0.4936,0.6417,0.5064,3.96,28.79,72.4,No,139.7,308.0,123.76,2.5,3
111,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.5,0.87,6,30,1.0,1.39,0.4593,0.597,0.5407,4.11,28.78,73.11,No,123.9,273.2,107.31,2.5,3
112,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,1.0,1.73,2,100,0.6,1.52,0.4675,0.6077,0.5325,10.25,28.73,69.59,No,145.0,319.6,131.04,2.5,3
