run_id,time_s,scf_setpoint_kN_per_cm,scf_actual_kN_per_cm,gw_setpoint_mm,gw_actual_mm,roll_speed_rpm,screw_speed_rpm
1,162.0,4.0,4.036,2.0,1.8985,2.56,28.5
1,164.0,4.0,3.715,2.0,1.9604,2.49,28.6
1,166.0,4.0,3.971,2.0,2.0793,2.51,28.1
1,168.0,4.0,4.054,2.0,1.9456,2.61,28.3
1,170.0,4.0,3.987,2.0,2.0426,2.52,27.8
1,172.0,4.0,3.999,2.0,1.9237,2.62,28.7
1,174.0,4.0,4.019,2.0,2.0068,2.49,27.9
1,176.0,4.0,3.953,2.0,1.9322,2.52,28.8
1,178.0,4.0,3.999,2.0,2.0572,2.49,28.3
2,0.0,4.0,4.044,2.0,2.0607,3.71,29.9
2,2.0,4.0,4.013,2.0,2.0262,3.71,30.9
2,4.0,4.0,3.949,2.0,1.8399,3.57,30.3
2,6.0,4.0,3.968,2.0,2.1018,3.56,30.0
2,8.0,4.0,3.959,2.0,1.9281,3.65,30.2
2,10.0,4.0,4.008,2.0,2.0407,3.79,30.6
2,12.0,4.0,3.981,2.0,2.0095,3.8,30.5
2,14.0,4.0,4.027,2.0,1.9395,3.68,30.9
2,16.0,4.0,4.111,2.0,1.9042,3.76,30.4
2,18.0,4.0,3.976,2.0,2.1152,3.72,30.3
2,20.0,4.0,3.918,2.0,2.0027,3.62,30.2
2,22.0,4.0,3.897,2.0,1.9577,3.7,30.8
2,24.0,4.0,4.027,2.0,2.1421,3.77,30.5
2,26.0,4.0,3.883,2.0,2.0297,3.69,30.2
2,28.0,4.0,3.995,2.0,2.0697,3.78,30.6
2,30.0,8.0,4.068,2.0,1.9954,3.6,30.6
2,32.0,8.0,5.181,2.0,1.9588,3.68,30.1
2,34.0,8.0,5.544,2.0,2.0402,3.54,30.4
2,36.0,8.0,6.416,2.0,2.0427,3.7,29.7
2,38.0,8.0,6.748,2.0,2.0538,3.76,30.6
2,40.0,8.0,7.018,2.0,1.9259,3.83,30.3
2,42.0,8.0,7.339,2.0,1.9566,3.67,30.7
2,44.0,8.0,7.461,2.0,2.1273,3.73,30.0
2,46.0,8.0,7.543,2.0,1.9501,3.64,30.3
2,48.0,8.0,7.692,2.0,2.0083,3.68,30.5
2,50.0,8.0,7.564,2.0,1.9631,3.74,30.1
2,52.0,8.0,7.688,2.0,2.0059,3.63,30.7
2,54.0,8.0,7.622,2.0,1.9773,3.66,30.4
2,56.0,8.0,7.772,2.0,2.0371,3.68,30.1
2,58.0,8.0,7.712,2.0,1.9733,3.75,30.3
2,60.0,8.0,7.798,2.0,2.0489,3.67,30.1
2,62.0,8.0,7.789,2.0,2.0635,3.65,30.5
2,64.0,8.0,7.831,2.0,2.0505,3.69,30.9
2,66.0,8.0,7.78,2.0,2.0131,3.74,30.8
2,68.0,8.0,7.915,2.0,1.9737,3.57,30.1
2,70.0,8.0,8.027,2.0,1.8969,3.74,30.4
2,72.0,8.0,7.799,2.0,2.0617,3.74,30.4
2,74.0,8.0,8.015,2.0,2.0463,3.79,30.3
2,76.0,8.0,7.769,2.0,1.9519,3.72,30.3
2,78.0,8.0,7.815,2.0,1.9511,3.73,30.4
2,80.0,8.0,7.72,2.0,2.0124,3.68,30.2
2,82.0,8.0,7.876,2.0,1.9305,3.79,30.1
2,84.0,8.0,7.874,2.0,1.9551,3.79,30.9
2,86.0,8.0,7.798,2.0,1.96,3.69,30.5
2,88.0,8.0,7.722,2.0,1.9893,3.64,30.5
2,90.0,8.0,8.0,2.0,1.9817,3.71,30.8
2,92.0,8.0,7.817,2.0,1.9955,3.68,30.5
2,94.0,8.0,7.768,2.0,1.9542,3.68,29.8
2,96.0,8.0,7.775,2.0,1.9426,3.64,30.4
2,98.0,8.0,7.818,2.0,2.0121,3.85,30.9
2,100.0,8.0,7.765,2.0,1.935,3.64,30.3
2,102.0,8.0,7.987,2.0,2.1043,3.64,30.5
2,104.0,8.0,7.995,2.0,1.9642,3.75,30.6
2,106.0,8.0,7.931,2.0,1.9933,3.71,30.2
2,108.0,8.0,7.935,2.0,1.9409,3.72,29.7
2,110.0,8.0,7.776,2.0,2.0514,3.7,31.0
2,112.0,8.0,7.671,2.0,1.9695,3.66,30.0
2,114.0,8.0,7.872,2.0,2.0451,3.69,30.0
2,116.0,8.0,7.985,2.0,1.9259,3.7,31.0
2,118.0,8.0,7.856,2.0,2.0308,3.71,30.2
2,120.0,8.0,7.917,2.0,1.9014,3.64,30.3
2,122.0,8.0,7.848,2.0,2.0956,3.61,30.3
2,124.0,8.0,7.828,2.0,1.8918,3.74,30.4
2,126.0,8.0,8.007,2.0,2.0428,3.74,29.9
2,128.0,8.0,7.868,2.0,1.9548,3.73,30.2
2,130.0,8.0,7.95,2.0,2.067,3.8,30.6
2,132.0,8.0,7.961,2.0,2.0001,3.68,30.0
2,134.0,8.0,7.824,2.0,2.0428,3.76,31.1
2,136.0,8.0,7.993,2.0,1.9607,3.78,30.1
2,138.0,8.0,7.821,2.0,2.0245,3.77,30.3
2,140.0,8.0,7.817,2.0,2.0749,3.8,30.5
2,142.0,8.0,7.713,2.0,1.95,3.79,30.8
2,144.0,8.0,7.957,2.0,2.0136,3.73,29.9
2,146.0,8.0,7.96,2.0,1.9396,3.77,30.7
2,148.0,8.0,7.989,2.0,2.0687,3.62,30.8
2,150.0,8.0,7.843,2.0,1.8888,3.66,30.8
2,152.0,8.0,7.962,2.0,1.9359,3.6,30.8
2,154.0,8.0,7.889,2.0,2.024,3.83,30.7
2,156.0,8.0,7.941,2.0,2.0776,3.74,30.5
2,158.0,8.0,7.875,2.0,1.9743,3.73,30.2
2,160.0,8.0,7.701,2.0,2.0056,3.72,30.5
2,162.0,8.0,7.894,2.0,2.0673,3.63,30.6
2,164.0,8.0,7.952,2.0,1.9491,3.67,30.9
2,166.0,8.0,7.95,2.0,1.9661,3.61,30.2
2,168.0,8.0,7.906,2.0,2.0562,3.79,30.0
2,170.0,8.0,7.804,2.0,1.997,3.65,30.6
2,172.0,8.0,7.838,2.0,1.947,3.73,30.2
2,174.0,8.0,7.857,2.0,1.9563,3.71,30.6
2,176.0,8.0,7.794,2.0,1.996,3.74,30.4
2,178.0,8.0,7.75,2.0,2.0677,3.7,30.6
3,0.0,8.0,8.056,2.0,2.014,2.42,26.3
3,2.0,8.0,8.02,2.0,2.0333,2.51,26.1
3,4.0,8.0,7.915,2.0,1.982,2.47,25.6
3,6.0,8.0,8.095,2.0,2.0555,2.52,26.1
3,8.0,8.0,8.035,2.0,2.033,2.46,26.0
3,10.0,8.0,8.028,2.0,2.0496,2.51,26.2
3,12.0,8.0,8.002,2.0,2.0334,2.42,25.4
3,14.0,8.0,7.963,2.0,2.0176,2.39,26.1
3,16.0,8.0,8.098,2.0,1.9147,2.41,25.9
3,18.0,8.0,7.956,2.0,2.0312,2.39,26.0
3,20.0,8.0,7.99,2.0,2.0825,2.44,26.2
3,22.0,8.0,8.047,2.0,2.0977,2.48,25.5
3,24.0,8.0,7.953,2.0,1.9911,2.59,25.9
3,26.0,8.0,8.048,2.0,1.9105,2.46,25.8
3,28.0,8.0,7.983,2.0,1.9415,2.35,25.6
3,30.0,4.0,7.882,2.0,1.964,2.48,25.8
3,32.0,4.0,7.017,2.0,1.9287,2.51,25.9
3,34.0,4.0,6.293,2.0,2.0862,2.45,26.0
3,36.0,4.0,5.696,2.0,2.0637,2.41,25.3
3,38.0,4.0,5.219,2.0,1.9453,2.54,25.6
3,40.0,4.0,5.02,2.0,1.9843,2.41,25.6
3,42.0,4.0,4.708,2.0,2.0471,2.45,25.6
3,44.0,4.0,4.533,2.0,2.0223,2.42,25.6
3,46.0,4.0,4.49,2.0,2.0604,2.35,26.1
3,48.0,4.0,4.38,2.0,1.9656,2.56,25.6
3,50.0,4.0,4.301,2.0,2.0152,2.44,26.3
3,52.0,4.0,4.307,2.0,2.0404,2.45,26.6
3,54.0,4.0,4.228,2.0,2.0451,2.56,26.4
3,56.0,4.0,4.289,2.0,1.9985,2.48,25.9
3,58.0,4.0,4.19,2.0,2.0951,2.41,25.6
3,60.0,4.0,4.193,2.0,2.0173,2.49,26.0
3,62.0,4.0,4.223,2.0,1.9511,2.52,25.5
3,64.0,4.0,4.111,2.0,2.0452,2.35,26.2
3,66.0,4.0,4.13,2.0,1.98,2.54,25.5
3,68.0,4.0,4.175,2.0,1.9962,2.52,25.8
3,70.0,4.0,4.151,2.0,2.0279,2.41,26.3
3,72.0,4.0,4.157,2.0,1.9044,2.43,25.8
3,74.0,4.0,4.193,2.0,2.0072,2.57,25.8
3,76.0,4.0,4.121,2.0,2.0571,2.42,26.3
3,78.0,4.0,4.151,2.0,2.075,2.44,26.0
3,80.0,4.0,4.127,2.0,2.0074,2.52,25.8
3,82.0,4.0,4.087,2.0,1.994,2.38,26.2
3,84.0,4.0,4.03,2.0,2.0133,2.53,26.2
3,86.0,4.0,4.14,2.0,2.0213,2.42,25.9
3,88.0,4.0,4.162,2.0,1.9965,2.5,26.0
3,90.0,4.0,4.164,2.0,2.0044,2.45,26.1
3,92.0,4.0,4.084,2.0,2.1519,2.39,25.2
3,94.0,4.0,4.131,2.0,2.0338,2.5,25.9
3,96.0,4.0,4.15,2.0,2.0575,2.45,25.8
3,98.0,4.0,4.124,2.0,1.9355,2.39,25.8
3,100.0,4.0,4.093,2.0,1.9296,2.44,25.6
3,102.0,4.0,4.143,2.0,1.9776,2.51,25.9
3,104.0,4.0,4.132,2.0,1.9813,2.41,25.6
3,106.0,4.0,4.132,2.0,2.0043,2.45,25.4
3,108.0,4.0,4.195,2.0,1.9176,2.59,25.9
3,110.0,4.0,4.13,2.0,1.9441,2.48,26.2
3,112.0,4.0,4.139,2.0,1.9324,2.34,26.2
3,114.0,4.0,4.176,2.0,1.9804,2.48,25.7
3,116.0,4.0,4.109,2.0,1.9455,2.46,25.8
3,118.0,4.0,4.095,2.0,2.0461,2.5,25.8
3,120.0,4.0,4.08,2.0,2.0128,2.52,26.2
3,122.0,4.0,4.095,2.0,2.013,2.35,26.1
3,124.0,4.0,4.167,2.0,1.9953,2.49,26.2
3,126.0,4.0,4.051,2.0,1.9294,2.48,25.6
3,128.0,4.0,4.119,2.0,1.9842,2.39,25.6
3,130.0,4.0,4.058,2.0,2.1062,2.44,25.8
3,132.0,4.0,4.096,2.0,1.9711,2.48,25.9
3,134.0,4.0,4.082,2.0,1.9668,2.46,25.6
3,136.0,4.0,4.003,2.0,1.9674,2.43,26.0
3,138.0,4.0,4.171,2.0,1.8992,2.49,25.6
3,140.0,4.0,4.147,2.0,2.0198,2.53,26.2
3,142.0,4.0,4.166,2.0,1.9647,2.49,25.4
3,144.0,4.0,4.076,2.0,2.0602,2.45,26.2
3,146.0,4.0,4.183,2.0,2.0323,2.38,25.0
3,148.0,4.0,4.09,2.0,2.007,2.47,25.9
3,150.0,4.0,4.087,2.0,1.9707,2.44,25.6
3,152.0,4.0,4.122,2.0,1.991,2.42,25.9
3,154.0,4.0,4.066,2.0,1.996,2.52,25.6
3,156.0,4.0,4.175,2.0,2.0521,2.43,25.8
3,158.0,4.0,4.137,2.0,1.9284,2.39,25.9
3,160.0,4.0,4.035,2.0,2.1226,2.56,26.1
3,162.0,4.0,4.087,2.0,2.0149,2.45,25.4
3,164.0,4.0,4.062,2.0,1.975,2.45,25.8
3,166.0,4.0,4.129,2.0,1.9429,2.53,26.2
3,168.0,4.0,4.088,2.0,2.0199,2.45,26.3
3,170.0,4.0,4.186,2.0,2.0452,2.46,26.3
3,172.0,4.0,4.166,2.0,2.0736,2.49,25.7
3,174.0,4.0,4.27,2.0,1.9975,2.47,26.1
3,176.0,4.0,4.115,2.0,2.0761,2.42,25.6
3,178.0,4.0,4.129,2.0,2.0793,2.48,26.2
4,0.0,6.0,5.954,3.0,2.9459,2.1,29.9
4,2.0,6.0,6.014,3.0,3.0785,2.08,30.1
4,4.0,6.0,5.874,3.0,3.0752,2.07,29.8
4,6.0,6.0,5.864,3.0,2.9269,2.07,30.4
4,8.0,6.0,6.055,3.0,3.0622,2.07,30.1
4,10.0,6.0,5.934,3.0,3.0564,2.14,30.1
4,12.0,6.0,6.022,3.0,2.8571,1.98,29.7
4,14.0,6.0,5.969,3.0,2.9783,2.0,30.3
4,16.0,6.0,5.86,3.0,2.9978,2.07,29.5
4,18.0,6.0,6.049,3.0,2.9451,2.1,29.9
4,20.0,6.0,6.01,3.0,3.0098,2.0,30.2
4,22.0,6.0,5.804,3.0,3.0814,2.07,30.0
4,24.0,6.0,6.043,3.0,2.8666,2.09,29.8
4,26.0,6.0,6.056,3.0,2.9738,2.03,30.0
4,28.0,6.0,5.961,3.0,3.0475,2.03,29.9
4,30.0,6.0,6.033,1.5,2.9959,2.1,29.6
4,32.0,6.0,5.983,1.5,2.9233,2.08,30.2
4,34.0,6.0,5.965,1.5,2.8521,2.07,29.6
4,36.0,6.0,5.843,1.5,2.6799,2.03,29.8
4,38.0,6.0,5.913,1.5,2.5091,2.03,29.8
4,40.0,6.0,6.114,1.5,2.4301,1.98,30.0
4,42.0,6.0,6.077,1.5,2.4143,1.99,29.9
4,44.0,6.0,6.128,1.5,2.2519,2.1,30.1
4,46.0,6.0,5.987,1.5,2.2157,2.07,30.1
4,48.0,6.0,5.925,1.5,2.1192,2.08,30.1
4,50.0,6.0,5.987,1.5,2.2164,2.05,29.9
4,52.0,6.0,5.868,1.5,2.121,2.09,30.6
4,54.0,6.0,6.131,1.5,2.0718,2.09,31.0
4,56.0,6.0,5.886,1.5,1.9768,2.09,30.0
4,58.0,6.0,6.01,1.5,1.9083,2.08,29.5
4,60.0,6.0,6.121,1.5,1.9891,1.97,29.4
4,62.0,6.0,6.012,1.5,1.9388,2.12,29.7
4,64.0,6.0,5.89,1.5,1.8441,2.09,29.4
4,66.0,6.0,6.059,1.5,1.8738,2.05,30.1
4,68.0,6.0,6.01,1.5,1.746,1.97,30.1
4,70.0,6.0,5.814,1.5,1.789,2.13,30.1
4,72.0,6.0,5.943,1.5,1.828,1.97,29.4
4,74.0,6.0,6.021,1.5,1.7739,2.01,30.2
4,76.0,6.0,5.97,1.5,1.651,2.11,30.2
4,78.0,6.0,6.047,1.5,1.7445,2.09,29.9
4,80.0,6.0,6.154,1.5,1.6676,2.01,29.5
4,82.0,6.0,6.265,1.5,1.6889,2.1,30.1
4,84.0,6.0,6.052,1.5,1.6076,2.14,30.0
4,86.0,6.0,5.955,1.5,1.5753,2.01,29.4
4,88.0,6.0,5.935,1.5,1.6098,2.08,29.5
4,90.0,6.0,5.989,1.5,1.5699,2.08,29.6
4,92.0,6.0,5.931,1.5,1.6758,2.07,29.9
4,94.0,6.0,6.024,1.5,1.6762,1.99,29.6
4,96.0,6.0,6.048,1.5,1.5534,2.05,29.7
4,98.0,6.0,5.943,1.5,1.6294,2.01,29.6
4,100.0,6.0,5.993,1.5,1.6363,2.08,30.3
4,102.0,6.0,6.054,1.5,1.6364,2.04,29.8
4,104.0,6.0,6.014,1.5,1.5099,2.06,29.7
4,106.0,6.0,5.977,1.5,1.6497,2.02,29.8
4,108.0,6.0,6.012,1.5,1.5774,2.0,30.2
4,110.0,6.0,5.963,1.5,1.6049,2.07,29.9
4,112.0,6.0,6.057,1.5,1.5566,2.07,29.5
4,114.0,6.0,6.001,1.5,1.5827,2.13,30.2
4,116.0,6.0,6.112,1.5,1.5237,2.02,30.7
4,118.0,6.0,6.163,1.5,1.5755,2.08,30.1
4,120.0,6.0,5.931,1.5,1.5596,2.06,29.9
4,122.0,6.0,5.991,1.5,1.5208,2.09,29.9
4,124.0,6.0,5.964,1.5,1.4839,2.13,29.4
4,126.0,6.0,5.916,1.5,1.5293,2.08,30.0
4,128.0,6.0,6.053,1.5,1.5626,2.08,30.0
4,130.0,6.0,6.262,1.5,1.551,2.11,29.8
4,132.0,6.0,6.039,1.5,1.4934,2.05,30.2
4,134.0,6.0,6.087,1.5,1.5862,2.02,29.5
4,136.0,6.0,5.943,1.5,1.5005,2.03,30.2
4,138.0,6.0,5.954,1.5,1.5895,2.06,29.8
4,140.0,6.0,6.018,1.5,1.4693,2.1,30.9
4,142.0,6.0,5.957,1.5,1.6104,2.12,30.1
4,144.0,6.0,6.11,1.5,1.5326,2.01,29.8
4,146.0,6.0,5.73,1.5,1.5759,1.99,30.3
4,148.0,6.0,5.954,1.5,1.5155,2.05,30.0
4,150.0,6.0,6.043,1.5,1.5588,2.03,29.6
4,152.0,6.0,5.985,1.5,1.5683,2.08,29.9
4,154.0,6.0,6.052,1.5,1.6013,2.01,30.0
4,156.0,6.0,6.054,1.5,1.5311,2.07,29.7
4,158.0,6.0,5.955,1.5,1.5589,2.0,30.1
4,160.0,6.0,6.124,1.5,1.5829,2.11,30.2
4,162.0,6.0,5.982,1.5,1.5554,2.03,30.2
4,164.0,6.0,5.962,1.5,1.5616,2.12,29.8
4,166.0,6.0,5.96,1.5,1.4902,2.09,30.0
4,168.0,6.0,6.045,1.5,1.5071,2.1,30.3
4,170.0,6.0,5.962,1.5,1.5898,2.03,29.8
4,172.0,6.0,6.086,1.5,1.6128,2.09,30.4
4,174.0,6.0,6.079,1.5,1.5004,2.02,29.7
4,176.0,6.0,5.917,1.5,1.4937,2.01,29.8
4,178.0,6.0,6.046,1.5,1.5778,2.06,29.9
5,0.0,6.0,6.005,1.5,1.5107,3.83,29.3
5,2.0,6.0,5.996,1.5,1.4228,3.88,29.4
5,4.0,6.0,5.885,1.5,1.4868,3.85,29.1
5,6.0,6.0,6.056,1.5,1.5183,3.87,29.4
5,8.0,6.0,5.945,1.5,1.4491,3.96,29.3
5,10.0,6.0,5.897,1.5,1.4501,3.81,29.1
5,12.0,6.0,5.947,1.5,1.5608,3.84,29.5
5,14.0,6.0,6.035,1.5,1.5584,3.99,29.0
5,16.0,6.0,6.012,1.5,1.4843,3.8,29.3
5,18.0,6.0,5.989,1.5,1.491,3.88,28.6
5,20.0,6.0,6.0,1.5,1.5526,3.85,28.8
5,22.0,6.0,6.047,1.5,1.5101,3.8,29.1
5,24.0,6.0,5.911,1.5,1.3691,3.88,29.6
5,26.0,6.0,6.109,1.5,1.5574,3.79,29.3
5,28.0,6.0,6.073,1.5,1.5164,3.77,29.3
5,30.0,6.0,6.033,3.0,1.5356,3.79,29.1
5,32.0,6.0,6.073,3.0,1.6953,3.73,29.3
5,34.0,6.0,5.97,3.0,1.7767,3.73,29.2
5,36.0,6.0,6.032,3.0,1.8309,3.86,29.1
5,38.0,6.0,5.974,3.0,1.8994,3.92,29.0
5,40.0,6.0,6.027,3.0,2.1257,3.81,28.8
5,42.0,6.0,6.021,3.0,2.0823,3.71,29.2
5,44.0,6.0,6.072,3.0,2.1392,3.86,29.3
5,46.0,6.0,6.019,3.0,2.25,3.98,28.7
5,48.0,6.0,6.002,3.0,2.3746,3.83,29.0
5,50.0,6.0,6.027,3.0,2.4257,3.9,29.2
5,52.0,6.0,5.981,3.0,2.3826,3.71,29.2
5,54.0,6.0,6.023,3.0,2.4694,3.88,29.2
5,56.0,6.0,5.982,3.0,2.4235,3.75,28.9
5,58.0,6.0,5.971,3.0,2.6547,3.81,29.0
5,60.0,6.0,5.972,3.0,2.4387,3.9,29.6
5,62.0,6.0,6.092,3.0,2.6722,3.83,29.1
5,64.0,6.0,5.894,3.0,2.6928,3.77,29.1
5,66.0,6.0,6.041,3.0,2.5788,3.81,28.6
5,68.0,6.0,5.996,3.0,2.7252,3.76,29.5
5,70.0,6.0,5.996,3.0,2.7517,3.81,28.8
5,72.0,6.0,5.971,3.0,2.7331,3.88,29.1
5,74.0,6.0,5.98,3.0,2.738,3.88,29.3
5,76.0,6.0,5.958,3.0,2.6648,3.84,29.9
5,78.0,6.0,6.128,3.0,2.8018,3.85,28.9
5,80.0,6.0,5.99,3.0,2.8845,3.8,29.4
5,82.0,6.0,5.967,3.0,2.8713,3.99,29.0
5,84.0,6.0,6.041,3.0,2.7667,3.75,29.6
5,86.0,6.0,5.98,3.0,2.9092,3.86,29.0
5,88.0,6.0,5.974,3.0,2.7863,3.97,29.4
5,90.0,6.0,6.043,3.0,2.8873,3.77,29.0
5,92.0,6.0,5.915,3.0,2.8163,3.82,29.5
5,94.0,6.0,6.089,3.0,3.0166,3.75,29.6
5,96.0,6.0,5.956,3.0,2.8471,3.84,29.2
5,98.0,6.0,6.021,3.0,2.8716,3.8,29.1
5,100.0,6.0,6.046,3.0,2.9161,3.84,29.1
5,102.0,6.0,5.979,3.0,2.973,3.81,28.6
5,104.0,6.0,6.077,3.0,2.7263,3.86,29.6
5,106.0,6.0,6.094,3.0,2.8802,3.84,29.2
5,108.0,6.0,6.048,3.0,2.9944,3.78,29.2
5,110.0,6.0,5.941,3.0,2.9754,3.83,29.0
5,112.0,6.0,6.019,3.0,2.8864,4.02,29.8
5,114.0,6.0,5.97,3.0,2.8648,3.91,29.0
5,116.0,6.0,5.822,3.0,2.8585,3.91,29.1
5,118.0,6.0,5.911,3.0,2.9782,3.89,29.0
5,120.0,6.0,5.864,3.0,2.8862,3.92,29.0
5,122.0,6.0,5.877,3.0,2.7909,3.77,29.2
5,124.0,6.0,6.009,3.0,2.8541,3.77,29.2
5,126.0,6.0,5.982,3.0,2.8408,3.8,29.3
5,128.0,6.0,5.963,3.0,2.9578,3.92,29.7
5,130.0,6.0,6.062,3.0,2.9702,3.89,28.8
5,132.0,6.0,5.958,3.0,2.981,3.78,29.2
5,134.0,6.0,6.039,3.0,3.0447,3.94,28.9
5,136.0,6.0,6.106,3.0,2.9864,3.68,29.4
5,138.0,6.0,5.982,3.0,2.8896,4.05,28.1
5,140.0,6.0,5.92,3.0,2.9615,3.83,29.0
5,142.0,6.0,5.924,3.0,2.9727,3.84,29.2
5,144.0,6.0,6.035,3.0,3.0416,3.83,28.7
5,146.0,6.0,6.015,3.0,2.9099,3.8,28.9
5,148.0,6.0,5.989,3.0,2.9862,3.81,29.3
5,150.0,6.0,5.997,3.0,2.9502,3.91,29.5
5,152.0,6.0,6.02,3.0,2.9564,3.75,29.0
5,154.0,6.0,5.958,3.0,2.9425,3.95,28.7
5,156.0,6.0,5.919,3.0,3.0288,3.89,29.5
5,158.0,6.0,5.973,3.0,2.9102,3.81,29.3
5,160.0,6.0,5.964,3.0,2.7876,3.76,29.5
5,162.0,6.0,5.886,3.0,3.0499,3.72,29.3
5,164.0,6.0,6.062,3.0,2.9823,3.81,28.9
5,166.0,6.0,5.981,3.0,2.8825,3.73,28.7
5,168.0,6.0,5.961,3.0,2.9871,3.77,29.1
5,170.0,6.0,6.018,3.0,2.9027,3.73,29.3
5,172.0,6.0,5.993,3.0,2.8304,3.73,29.3
