run_id,control_architecture,control_label,feed_type,has_scf_pid,has_gw_pid,material,scenario,scf_setpoint_kN_per_cm,gw_setpoint_mm,scf_ss_mean,scf_ss_std,scf_ss_cv_pct,scf_deviation_from_setpoint_pct,scf_settling_time_s,scf_overshoot_pct,gw_ss_mean_mm,gw_ss_std_mm,gw_ss_cv_pct,gw_deviation_from_setpoint_pct,gw_settling_time_s,control_quality_grade
51,pid_scf_gw,PID: SCF + GW Control,single_screw,True,True,MCC_101,scf_step_down,4.0,2.0,3.999,0.0304,0.76,0.01,126.0,98.14,1.9962,0.0215,1.08,0.19,147.0,Excellent
52,pid_scf_gw,PID: SCF + GW Control,single_screw,True,True,MCC_101,gw_step_down,6.0,1.5,5.999,0.0397,0.66,0.01,76.0,2.67,1.5009,0.024,1.6,0.06,142.5,Good
53,pid_scf_gw,PID: SCF + GW Control,single_screw,True,True,MCC_101,gw_step_up,6.0,3.0,6.001,0.0476,0.79,0.01,94.0,1.95,3.0015,0.029,0.97,0.05,149.5,Excellent
54,pid_scf_gw,PID: SCF + GW Control,single_screw,True,True,MCC_101,simultaneous_change,8.0,1.5,8.009,0.0751,0.94,0.11,145.0,14.96,1.5023,0.0255,1.7,0.15,146.0,Good
55,pid_scf_gw,PID: SCF + GW Control,single_screw,True,True,MCC_101,high_force_steady,12.0,2.0,12.011,0.1131,0.94,0.1,135.0,5.9,1.999,0.0219,1.1,0.05,145.5,Good
56,pid_scf_gw,PID: SCF + GW Control,single_screw,True,True,MCC_101,low_force_wide_gap,2.0,4.0,1.997,0.0215,1.08,0.16,139.0,2.96,4.0039,0.0343,0.86,0.1,104.0,Excellent
57,pid_scf_gw,PID: SCF + GW Control,single_screw,True,True,Mannitol_SD,steady_state_baseline,4.0,2.0,4.0,0.0607,1.52,0.01,142.5,11.11,2.0054,0.0341,1.7,0.27,149.5,Good
58,pid_scf_gw,PID: SCF + GW Control,single_screw,True,True,Mannitol_SD,scf_step_up,8.0,2.0,7.989,0.0965,1.21,0.14,147.5,13.23,2.002,0.0324,1.62,0.1,146.0,Good
59,pid_scf_gw,PID: SCF + GW Control,single_screw,True,True,Mannitol_SD,scf_step_down,4.0,2.0,4.009,0.0716,1.79,0.24,149.5,102.15,2.0033,0.0466,2.33,0.16,149.5,Good
60,pid_scf_gw,PID: SCF + GW Control,single_screw,True,True,Mannitol_SD,gw_step_down,6.0,1.5,5.988,0.071,1.19,0.2,149.5,5.25,1.5004,0.0254,1.7,0.02,148.0,Good
61,pid_scf_gw,PID: SCF + GW Control,single_screw,True,True,Mannitol_SD,gw_step_up,6.0,3.0,5.993,0.0705,1.18,0.12,133.0,9.43,2.9953,0.0519,1.73,0.16,149.5,Good
62,pid_scf_gw,PID: SCF + GW Control,single_screw,True,True,Mannitol_SD,simultaneous_change,8.0,1.5,7.994,0.1043,1.3,0.08,144.0,20.06,1.4979,0.0242,1.62,0.14,148.0,Good
63,pid_scf_gw,PID: SCF + GW Control,single_screw,True,True,Mannitol_SD,high_force_steady,12.0,2.0,12.002,0.1053,0.88,0.02,149.5,2.96,2.0031,0.0342,1.71,0.15,149.5,Good
64,pid_scf_gw,PID: SCF + GW Control,single_screw,True,True,Mannitol_SD,low_force_wide_gap,2.0,4.0,2.0,0.03,1.5,0.02,149.0,6.21,3.9986,0.0653,1.63,0.04,148.5,Good
65,pid_scf_gw,PID: SCF + GW Control,single_screw,True,True,MCC_Mannitol_Mix,steady_state_baseline,4.0,2.0,3.995,0.0353,0.88,0.14,124.5,4.49,2.0047,0.0293,1.46,0.23,148.5,Good
66,pid_scf_gw,PID: SCF + GW Control,single_screw,True,True,MCC_Mannitol_Mix,scf_step_up,8.0,2.0,8.005,0.0759,0.95,0.07,104.5,13.35,1.9977,0.033,1.65,0.12,149.5,Good
67,pid_scf_gw,PID: SCF + GW Control,single_screw,True,True,MCC_Mannitol_Mix,scf_step_down,4.0,2.0,3.999,0.0313,0.78,0.02,108.0,100.73,1.9999,0.0264,1.32,0.0,146.0,Good
68,pid_scf_gw,PID: SCF + GW Control,single_screw,True,True,MCC_Mannitol_Mix,gw_step_down,6.0,1.5,6.001,0.0537,0.9,0.01,113.0,4.93,1.5041,0.0247,1.64,0.27,147.0,Good
69,pid_scf_gw,PID: SCF + GW Control,single_screw,True,True,MCC_Mannitol_Mix,gw_step_up,6.0,3.0,6.005,0.0952,1.59,0.08,137.0,11.32,3.0029,0.0302,1.01,0.1,134.0,Good
70,pid_scf_gw,PID: SCF + GW Control,single_screw,True,True,MCC_Mannitol_Mix,simultaneous_change,8.0,1.5,7.995,0.1195,1.49,0.06,143.0,16.1,1.4943,0.03,2.01,0.38,149.5,Good
71,pid_scf_gw,PID: SCF + GW Control,single_screw,True,True,MCC_Mannitol_Mix,high_force_steady,12.0,2.0,12.014,0.0862,0.72,0.12,145.5,2.69,2.0002,0.0354,1.77,0.01,145.5,Good
72,pid_scf_gw,PID: SCF + GW Control,single_screw,True,True,MCC_Mannitol_Mix,low_force_wide_gap,2.0,4.0,2.001,0.022,1.1,0.03,147.0,3.05,4.0008,0.0467,1.17,0.02,134.5,Good
73,pid_scf_gw_twin_screw,PID: SCF + GW Control + Twin Feed Screw,twin_screw,True,True,MCC_101,steady_state_baseline,4.0,2.0,4.0,0.0442,1.11,0.01,129.0,7.8,1.9993,0.0185,0.92,0.03,148.5,Good
74,pid_scf_gw_twin_screw,PID: SCF + GW Control + Twin Feed Screw,twin_screw,True,True,MCC_101,scf_step_up,8.0,2.0,7.997,0.0462,0.58,0.04,119.5,14.9,2.0013,0.0216,1.08,0.07,142.5,Excellent
75,pid_scf_gw_twin_screw,PID: SCF + GW Control + Twin Feed Screw,twin_screw,True,True,MCC_101,scf_step_down,4.0,2.0,4.001,0.0198,0.49,0.03,147.0,99.67,1.9977,0.0194,0.97,0.12,136.5,Excellent
76,pid_scf_gw_twin_screw,PID: SCF + GW Control + Twin Feed Screw,twin_screw,True,True,MCC_101,gw_step_down,6.0,1.5,5.999,0.0741,1.24,0.02,135.0,6.38,1.4983,0.0159,1.06,0.11,139.0,Good
77,pid_scf_gw_twin_screw,PID: SCF + GW Control + Twin Feed Screw,twin_screw,True,True,MCC_101,gw_step_up,6.0,3.0,6.003,0.0349,0.58,0.06,133.0,7.11,3.0009,0.0216,0.72,0.03,75.5,Excellent
78,pid_scf_gw_twin_screw,PID: SCF + GW Control + Twin Feed Screw,twin_screw,True,True,MCC_101,simultaneous_change,8.0,1.5,8.001,0.0671,0.84,0.01,111.0,13.22,1.5027,0.0181,1.21,0.18,140.0,Good
79,pid_scf_gw_twin_screw,PID: SCF + GW Control + Twin Feed Screw,twin_screw,True,True,MCC_101,high_force_steady,12.0,2.0,11.993,0.0562,0.47,0.06,130.0,4.7,2.0008,0.0198,0.99,0.04,146.0,Excellent
80,pid_scf_gw_twin_screw,PID: SCF + GW Control + Twin Feed Screw,twin_screw,True,True,MCC_101,low_force_wide_gap,2.0,4.0,2.001,0.0175,0.88,0.04,110.0,1.84,4.0012,0.0245,0.61,0.03,81.5,Excellent
81,pid_scf_gw_twin_screw,PID: SCF + GW Control + Twin Feed Screw,twin_screw,True,True,Mannitol_SD,steady_state_baseline,4.0,2.0,4.0,0.0397,0.99,0.01,142.0,8.26,2.0004,0.0253,1.26,0.02,149.0,Good
82,pid_scf_gw_twin_screw,PID: SCF + GW Control + Twin Feed Screw,twin_screw,True,True,Mannitol_SD,scf_step_up,8.0,2.0,8.006,0.0557,0.7,0.08,135.5,14.31,2.0017,0.0273,1.36,0.09,140.0,Good
83,pid_scf_gw_twin_screw,PID: SCF + GW Control + Twin Feed Screw,twin_screw,True,True,Mannitol_SD,scf_step_down,4.0,2.0,3.996,0.0391,0.98,0.11,124.0,101.31,2.002,0.0262,1.31,0.1,148.0,Good
84,pid_scf_gw_twin_screw,PID: SCF + GW Control + Twin Feed Screw,twin_screw,True,True,Mannitol_SD,gw_step_down,6.0,1.5,5.995,0.0484,0.81,0.09,146.0,2.11,1.4983,0.0215,1.44,0.12,149.5,Good
85,pid_scf_gw_twin_screw,PID: SCF + GW Control + Twin Feed Screw,twin_screw,True,True,Mannitol_SD,gw_step_up,6.0,3.0,5.997,0.0797,1.33,0.06,129.5,11.93,2.9966,0.0488,1.63,0.11,140.0,Good
86,pid_scf_gw_twin_screw,PID: SCF + GW Control + Twin Feed Screw,twin_screw,True,True,Mannitol_SD,simultaneous_change,8.0,1.5,7.997,0.0403,0.5,0.04,117.5,13.8,1.4953,0.0262,1.75,0.31,149.0,Good
87,pid_scf_gw_twin_screw,PID: SCF + GW Control + Twin Feed Screw,twin_screw,True,True,Mannitol_SD,high_force_steady,12.0,2.0,12.01,0.1305,1.09,0.08,107.5,10.86,1.9999,0.028,1.4,0.0,144.5,Good
88,pid_scf_gw_twin_screw,PID: SCF + GW Control + Twin Feed Screw,twin_screw,True,True,Mannitol_SD,low_force_wide_gap,2.0,4.0,2.0,0.023,1.15,0.0,127.5,8.11,3.9944,0.0472,1.18,0.14,142.5,Good
89,pid_scf_gw_twin_screw,PID: SCF + GW Control + Twin Feed Screw,twin_screw,True,True,MCC_Mannitol_Mix,steady_state_baseline,4.0,2.0,4.004,0.0418,1.04,0.1,146.5,6.6,1.9998,0.0277,1.38,0.01,148.5,Good
90,pid_scf_gw_twin_screw,PID: SCF + GW Control + Twin Feed Screw,twin_screw,True,True,MCC_Mannitol_Mix,scf_step_up,8.0,2.0,8.0,0.0394,0.49,0.0,103.0,15.47,1.9944,0.0228,1.14,0.28,149.0,Excellent
91,pid_scf_gw_twin_screw,PID: SCF + GW Control + Twin Feed Screw,twin_screw,True,True,MCC_Mannitol_Mix,scf_step_down,4.0,2.0,3.998,0.032,0.8,0.06,108.0,100.07,2.0,0.0204,1.02,0.0,132.0,Excellent
92,pid_scf_gw_twin_screw,PID: SCF + GW Control + Twin Feed Screw,twin_screw,True,True,MCC_Mannitol_Mix,gw_step_down,6.0,1.5,6.004,0.0543,0.9,0.06,138.5,6.13,1.5019,0.0222,1.48,0.13,140.0,Good
93,pid_scf_gw_twin_screw,PID: SCF + GW Control + Twin Feed Screw,twin_screw,True,True,MCC_Mannitol_Mix,gw_step_up,6.0,3.0,5.996,0.0411,0.69,0.07,149.5,2.13,3.0013,0.0319,1.06,0.04,146.0,Excellent
94,pid_scf_gw_twin_screw,PID: SCF + GW Control + Twin Feed Screw,twin_screw,True,True,MCC_Mannitol_Mix,simultaneous_change,8.0,1.5,8.001,0.0346,0.43,0.02,83.0,13.12,1.5006,0.0203,1.35,0.04,149.5,Excellent
95,pid_scf_gw_twin_screw,PID: SCF + GW Control + Twin Feed Screw,twin_screw,True,True,MCC_Mannitol_Mix,high_force_steady,12.0,2.0,12.004,0.0938,0.78,0.03,139.5,5.61,1.9991,0.0188,0.94,0.04,111.5,Excellent
96,pid_scf_gw_twin_screw,PID: SCF + GW Control + Twin Feed Screw,twin_screw,True,True,MCC_Mannitol_Mix,low_force_wide_gap,2.0,4.0,2.001,0.0168,0.84,0.03,145.5,2.01,3.997,0.0326,0.82,0.08,127.0,Excellent
