run_id,roll_force_kN_per_cm,roll_speed_rpm,feed_screw_rpm,roll_gap_mm,peak_pressure_MPa,ribbon_rel_density,ribbon_density_g_cc,ribbon_porosity,density_CV_percent,throughput_kg_hr
178,13.91,2.79,105.9,4.33,54.6,0.6733,1.0436,0.3267,6.66,33.08
179,12.7,9.5,79.8,3.7,53.9,0.8016,1.2424,0.1984,2.11,111.89
180,10.98,10.41,57.2,2.15,61.2,0.7708,1.1948,0.2292,3.69,68.43
181,12.69,3.8,57.4,4.08,51.3,0.7788,1.2071,0.2212,3.21,46.57
182,12.72,11.11,13.9,2.63,64.0,0.7469,1.1577,0.2531,5.03,87.44
183,8.23,6.0,68.8,4.06,33.4,0.7082,1.0978,0.2918,2.03,72.37
184,5.79,7.64,119.3,2.23,31.7,0.6714,1.0406,0.3286,2.9,44.53
185,11.26,11.83,115.5,3.36,50.2,0.777,1.2043,0.223,1.88,122.04
186,9.94,4.98,14.4,4.28,39.2,0.6843,1.0607,0.3157,4.24,56.95
187,6.48,9.94,87.6,2.27,35.1,0.6942,1.076,0.3058,2.8,61.31
188,3.13,4.5,43.2,3.58,13.5,0.5516,0.855,0.4484,2.55,37.45
189,10.96,9.79,109.3,4.46,42.4,0.7583,1.1753,0.2417,2.22,129.93
190,5.15,7.61,15.0,1.95,30.1,0.6266,0.9713,0.3734,5.84,36.07
191,13.24,3.38,112.9,1.77,81.4,0.7516,1.165,0.2484,6.42,15.34
192,4.89,5.55,102.1,3.52,21.3,0.5889,0.9128,0.4111,5.6,44.4
193,3.47,4.49,22.9,2.52,17.9,0.5701,0.8837,0.4299,3.63,22.95
194,11.97,1.86,16.6,1.71,74.7,0.864,1.3392,0.136,2.36,11.83
195,3.84,1.33,101.8,2.93,18.3,0.5205,0.8069,0.4795,6.34,12.2
196,4.15,4.81,27.1,3.76,17.5,0.57,0.8835,0.43,3.63,40.22
197,9.19,1.21,68.8,2.36,48.9,0.6557,1.0164,0.3443,6.83,4.88
198,12.49,2.82,110.7,2.51,64.5,0.737,1.1423,0.263,6.45,21.93
199,4.36,8.98,72.4,4.04,17.7,0.5726,0.8875,0.4274,3.22,80.92
200,5.72,8.79,53.7,3.06,26.7,0.6466,1.0023,0.3534,3.37,70.69
201,11.33,9.12,59.0,4.03,46.1,0.7116,1.1029,0.2884,3.23,102.95
202,13.66,4.49,16.9,2.84,66.2,0.7703,1.1939,0.2297,3.96,37.85
203,8.01,10.79,116.6,4.36,31.3,0.6873,1.0653,0.3127,2.17,127.51
204,3.73,7.53,44.2,3.45,16.4,0.5405,0.8378,0.4595,3.33,56.69
205,2.17,2.39,30.8,1.85,13.0,0.576,0.8927,0.424,1.98,9.7
206,4.76,2.58,41.5,4.16,19.0,0.5847,0.9063,0.4153,3.04,24.04
207,3.58,8.62,116.1,2.97,17.0,0.5649,0.8756,0.4351,3.43,56.85
208,10.13,2.9,20.4,1.92,59.6,0.8045,1.247,0.1955,2.78,15.86
209,3.46,6.58,105.4,1.96,20.2,0.6199,0.9608,0.3801,2.75,32.16
210,8.08,11.91,87.9,3.56,34.9,0.7177,1.1124,0.2823,2.47,117.68
211,10.33,1.04,101.3,1.64,65.8,0.7156,1.1091,0.2844,6.48,4.18
212,8.97,1.18,117.3,2.36,47.7,0.6569,1.0182,0.3431,6.72,8.38
213,4.4,11.92,102.6,1.92,25.9,0.6749,1.0461,0.3251,2.57,61.51
214,11.65,7.43,113.8,2.82,56.6,0.8036,1.2455,0.1964,3.29,67.52
215,10.58,2.4,24.0,2.74,52.2,0.8051,1.2479,0.1949,1.8,20.82
216,10.87,10.87,97.5,3.07,50.7,0.7633,1.1831,0.2367,2.39,102.29
217,3.57,10.68,70.0,2.34,19.1,0.5991,0.9287,0.4009,2.73,60.56
218,3.49,6.9,69.8,1.6,22.5,0.6469,1.0027,0.3531,1.8,28.82
219,13.13,7.84,108.9,3.34,58.6,0.7723,1.1971,0.2277,2.13,81.4
220,6.77,4.01,116.9,2.62,34.1,0.6108,0.9468,0.3892,5.98,26.47
221,5.61,1.56,87.5,3.45,24.7,0.5907,0.9156,0.4093,6.93,11.89
222,7.86,7.54,63.1,1.83,47.5,0.7703,1.1939,0.2297,2.69,39.9
223,9.95,4.24,60.2,1.54,65.5,0.84,1.302,0.16,2.98,22.34
224,13.47,8.3,52.5,2.24,73.4,0.8256,1.2796,0.1744,3.19,61.62
225,5.44,10.2,49.8,2.87,26.2,0.6229,0.9654,0.3771,4.14,73.69
226,13.1,1.2,53.1,2.68,65.3,0.7146,1.1076,0.2854,5.8,7.68
227,2.3,7.55,19.9,3.93,9.5,0.4831,0.7488,0.5169,5.14,55.33
228,8.66,3.54,18.5,2.63,43.6,0.6981,1.0821,0.3019,3.74,26.44
229,9.61,10.61,95.8,3.09,44.6,0.772,1.1966,0.228,2.49,100.0
230,3.27,3.79,59.1,3.28,14.7,0.5857,0.9079,0.4143,3.29,25.96
231,3.68,7.72,112.4,1.57,24.0,0.6204,0.9616,0.3796,2.33,30.19
232,7.03,7.09,77.3,3.05,32.9,0.7169,1.1112,0.2831,1.4,58.39
233,13.59,5.36,13.9,2.53,69.7,0.7659,1.1871,0.2341,4.53,39.69
234,9.15,8.45,27.3,2.76,45.0,0.7009,1.0863,0.2991,4.78,66.75
235,13.2,8.98,32.6,1.8,80.3,0.8108,1.2567,0.1892,4.66,54.58
236,11.65,7.24,117.3,3.85,48.5,0.7536,1.1681,0.2464,2.87,81.13
237,7.61,9.34,34.1,4.33,29.9,0.6327,0.9806,0.3673,3.98,100.6
238,11.42,11.82,66.7,1.57,74.5,0.8381,1.299,0.1619,3.19,61.4
239,2.21,5.61,113.0,3.3,9.9,0.4983,0.7723,0.5017,4.94,39.19
240,3.31,6.66,117.5,3.79,13.9,0.5504,0.8532,0.4496,3.52,54.2
241,11.95,1.14,36.0,2.35,63.6,0.6923,1.0731,0.3077,5.92,6.61
242,11.56,9.76,15.4,3.86,48.0,0.7236,1.1216,0.2764,4.86,110.1
243,4.79,6.72,26.9,3.4,21.2,0.5931,0.9193,0.4069,4.26,52.97
244,8.37,5.49,17.0,4.29,33.0,0.6525,1.0114,0.3475,4.14,61.76
245,9.27,2.03,31.5,4.44,35.9,0.668,1.0354,0.332,3.04,21.65
246,12.41,10.79,72.5,1.63,79.5,0.8297,1.286,0.1703,3.43,57.29
247,9.24,5.35,110.4,2.83,44.8,0.6957,1.0783,0.3043,4.74,39.17
248,6.95,8.51,69.1,3.14,32.0,0.6906,1.0705,0.3094,2.41,71.37
249,6.49,2.64,78.9,1.94,38.0,0.5915,0.9169,0.4085,6.88,13.25
250,7.11,11.58,32.2,2.51,36.7,0.6716,1.0409,0.3284,4.57,77.02
251,9.82,2.96,98.1,4.46,38.0,0.6111,0.9472,0.3889,6.27,31.46
252,12.41,3.19,78.0,1.55,81.4,0.7764,1.2035,0.2236,6.59,14.06
253,7.45,10.45,105.1,2.86,36.0,0.7158,1.1095,0.2842,1.93,84.14
254,4.97,11.04,114.4,4.03,20.2,0.6288,0.9747,0.3712,2.47,110.96
255,4.84,3.33,48.3,2.47,25.1,0.6602,1.0234,0.3398,2.87,22.98
256,10.95,6.17,20.0,2.94,52.2,0.709,1.099,0.291,4.41,46.87
257,11.8,9.07,34.9,4.43,45.7,0.6907,1.0706,0.3093,4.48,108.52
258,3.26,10.66,58.2,2.92,15.6,0.5597,0.8676,0.4403,3.69,69.22
259,2.8,5.17,114.0,1.89,16.6,0.5398,0.8367,0.4602,6.08,20.73
260,9.13,6.69,51.6,1.66,58.0,0.7736,1.1991,0.2264,2.41,34.45
261,3.75,9.16,94.8,4.34,14.7,0.5617,0.8707,0.4383,2.04,88.58
262,11.9,9.04,69.5,2.3,64.1,0.8249,1.2787,0.1751,2.61,67.28
263,5.72,9.61,30.1,3.01,26.9,0.6018,0.9328,0.3982,4.88,68.08
264,3.73,7.27,45.3,1.77,22.9,0.6115,0.9478,0.3885,2.81,30.76
265,13.05,2.15,81.9,2.77,64.0,0.6777,1.0504,0.3223,6.91,17.69
266,3.99,10.94,84.0,4.29,15.7,0.5717,0.8862,0.4283,2.83,105.0
267,5.42,10.52,57.8,3.01,25.5,0.626,0.9702,0.374,3.02,78.19
268,3.84,9.78,35.2,4.41,14.9,0.5557,0.8614,0.4443,4.88,95.08
269,3.39,2.1,89.4,2.28,18.3,0.5096,0.7899,0.4904,7.39,11.96
270,2.25,3.25,28.6,3.01,10.6,0.5749,0.8911,0.4251,2.69,21.8
271,2.66,9.18,113.0,4.08,10.8,0.5446,0.8442,0.4554,2.68,82.03
272,4.1,1.25,30.7,2.84,19.8,0.5273,0.8174,0.4727,6.17,9.29
273,2.64,11.77,21.8,2.34,14.1,0.5456,0.8457,0.4544,4.43,59.27
274,9.09,5.15,64.7,4.07,36.8,0.7222,1.1195,0.2778,1.41,59.45
275,10.17,8.91,67.2,2.67,50.8,0.7581,1.1751,0.2419,2.79,70.8
276,6.72,10.76,65.9,3.09,31.2,0.6617,1.0257,0.3383,3.03,86.66
277,5.82,5.34,58.0,4.43,22.6,0.6619,1.0259,0.3381,1.64,63.17
278,8.05,4.51,119.4,2.06,45.8,0.6757,1.0473,0.3243,6.31,25.15
279,12.5,7.7,63.5,2.4,65.8,0.8107,1.2567,0.1893,2.7,59.65
280,12.21,7.39,62.6,1.59,79.0,0.8585,1.3306,0.1415,1.8,38.27
281,2.52,5.5,56.4,2.68,12.6,0.5718,0.8863,0.4282,1.86,31.81
282,4.18,7.62,17.4,2.1,23.5,0.5696,0.883,0.4304,5.54,39.25
283,4.84,11.29,75.2,3.54,21.0,0.6088,0.9437,0.3912,2.6,95.9
284,4.99,6.14,35.1,2.04,28.5,0.6453,1.0003,0.3547,3.8,30.87
285,8.85,3.16,80.1,3.52,38.5,0.6448,0.9995,0.3552,6.05,30.57
286,7.0,5.15,15.6,2.29,37.7,0.6814,1.0562,0.3186,4.86,32.19
287,2.59,5.34,118.0,2.57,13.2,0.5001,0.7752,0.4999,6.13,27.93
288,6.48,2.44,61.6,2.55,33.2,0.6015,0.9323,0.3985,6.53,14.58
289,8.29,2.79,108.6,3.65,35.4,0.6182,0.9582,0.3818,6.86,24.42
290,3.22,8.53,62.3,2.9,15.4,0.5685,0.8811,0.4315,2.32,55.32
291,12.0,4.73,16.6,2.58,61.0,0.7627,1.1822,0.2373,4.88,34.8
292,2.62,11.5,100.4,4.06,10.6,0.5487,0.8505,0.4513,1.97,101.11
293,13.1,3.68,81.3,3.22,59.6,0.7013,1.087,0.2987,5.79,33.24
294,3.19,2.09,96.0,2.14,17.8,0.5037,0.7808,0.4963,6.6,11.68
295,12.12,9.29,57.1,4.2,48.3,0.7638,1.1839,0.2362,3.45,117.91
296,12.83,10.69,80.2,2.53,65.9,0.8137,1.2613,0.1863,2.84,83.43
297,13.75,4.06,104.2,1.62,88.3,0.7881,1.2215,0.2119,5.94,20.3
298,11.62,3.22,79.4,2.98,54.9,0.6813,1.056,0.3187,5.62,30.0
299,11.35,3.04,48.2,1.87,67.8,0.8103,1.256,0.1897,3.6,19.54
300,9.71,6.74,82.9,2.22,53.3,0.8269,1.2817,0.1731,2.18,47.6
301,11.35,6.15,83.9,3.74,47.9,0.7463,1.1568,0.2537,2.87,68.79
302,3.61,3.85,115.7,1.89,21.5,0.5114,0.7927,0.4886,6.45,13.63
303,8.43,1.5,50.8,3.92,34.8,0.6248,0.9685,0.3752,5.93,12.46
304,8.17,6.3,56.8,4.31,32.1,0.6803,1.0545,0.3197,2.63,72.46
305,12.29,11.55,99.3,3.32,55.1,0.7908,1.2258,0.2092,2.2,120.01
306,7.55,8.18,65.6,3.63,32.4,0.6787,1.0519,0.3213,2.66,76.84
307,6.62,6.45,91.0,3.64,28.3,0.6682,1.0357,0.3318,2.31,60.3
308,9.67,2.22,60.6,4.48,37.3,0.6049,0.9376,0.3951,7.05,23.76
